open_time;open;high;low;close;volume;close_time;quote_asset_volume;number_of_trades;taker_buy_base_asset_volume;taker_buy_quote_asset_volume;ignore;symbol;timestamp
1627603200000;2024.15000000;2093.08000000;1968.20000000;2082.64;49524.60679000;1627689599999;100480244.59056050;183871;25029.24177000;50811682.19709390;0;ETHEUR;2021-07-30
1627689600000;2082.60000000;2171.65000000;2045.85000000;2152.84;34158.18046000;1627775999999;71619611.69023600;140161;17777.24999000;37291066.16962390;0;ETHEUR;2021-07-31
1627776000000;2152.99000000;2298.22000000;2137.08000000;2182.17;57112.56355000;1627862399999;126403334.02647330;210766;28825.40331000;63800129.88968520;0;ETHEUR;2021-08-01
1627862400000;2182.50000000;2272.25000000;2140.54000000;2221.9;46415.21076000;1627948799999;102743836.16203270;121145;22792.35324000;50465625.58699210;0;ETHEUR;2021-08-02
1627948800000;2221.89000000;2242.71000000;2080.00000000;2134.87;47285.42050000;1628035199999;100879525.54245200;140108;22931.21507000;48918753.53782070;0;ETHEUR;2021-08-03
1628035200000;2135.03000000;2365.23000000;2096.31000000;2326.18;55411.78469000;1628121599999;123615049.76085620;161869;29071.98323000;64856632.78176710;0;ETHEUR;2021-08-04
1628121600000;2326.27000000;2426.20000000;2171.24000000;2414.69;72587.81428000;1628207999999;168441358.35798170;199085;36772.94779000;85418367.63851630;0;ETHEUR;2021-08-05
1628208000000;2415.12000000;2528.62000000;2335.00000000;2480.6;50737.40499000;1628294399999;123030292.70690710;157915;25581.61328000;62114417.39567680;0;ETHEUR;2021-08-06
1628294400000;2480.51000000;2740.00000000;2459.42000000;2723.82;62628.27757000;1628380799999;164483292.92191510;202380;31947.56402000;83881494.80132320;0;ETHEUR;2021-08-07
1628380800000;2723.95000000;2748.60000000;2539.95000000;2603.61;55576.63476000;1628467199999;147684880.77867490;183822;27695.91586000;73590054.26097470;0;ETHEUR;2021-08-08
1628467200000;2604.07000000;2748.93000000;2492.68000000;2726.77;60643.56580000;1628553599999;160292036.51998660;226598;30682.31651000;81145698.60393670;0;ETHEUR;2021-08-09
1628553600000;2726.06000000;2790.81000000;2643.03000000;2715.32;45985.99307000;1628639999999;124673178.16556740;188528;23153.65575000;62796625.77037980;0;ETHEUR;2021-08-10
1628640000000;2715.01000000;2837.73000000;2696.54000000;2743.4;39540.26184000;1628726399999;110093494.90935120;173413;20083.94145000;55907086.41635630;0;ETHEUR;2021-08-11
1628726400000;2743.75000000;2808.03000000;2578.27000000;2639.48;42587.03434000;1628812799999;114314128.12120440;165588;20579.65733000;55253732.87484580;0;ETHEUR;2021-08-12
1628812800000;2639.16000000;2848.00000000;2629.66000000;2846.06;31568.52197000;1628899199999;87647385.44518690;116354;16485.69373000;45782741.09976930;0;ETHEUR;2021-08-13
1628899200000;2846.11000000;2861.20000000;2761.00000000;2801.27;26881.02518000;1628985599999;75439691.57147840;106102;13032.91056000;36585469.97031710;0;ETHEUR;2021-08-14
1628985600000;2800.93000000;2845.00000000;2680.38000000;2835.0;32049.42357000;1629071999999;88268012.94587600;117901;15849.20790000;43693207.29256700;0;ETHEUR;2021-08-15
1629072000000;2834.90000000;2856.22000000;2702.81000000;2714.98;31268.14015000;1629158399999;87169679.40446460;98614;15525.38786000;43310802.01842210;0;ETHEUR;2021-08-16
1629158400000;2715.45000000;2823.40000000;2589.00000000;2609.27;34286.65632000;1629244799999;93344545.24710500;114251;15624.70923000;42633941.33120670;0;ETHEUR;2021-08-17
1629244800000;2609.97000000;2704.08000000;2558.01000000;2610.6;29665.55180000;1629331199999;78131818.66752130;94318;14408.51259000;37958776.58254490;0;ETHEUR;2021-08-18
1629331200000;2610.19000000;2749.99000000;2569.04000000;2734.46;29989.08122000;1629417599999;79036904.56390120;92340;15203.62705000;40095355.58429350;0;ETHEUR;2021-08-19
1629417600000;2735.10000000;2824.59000000;2730.69000000;2809.54;28309.90821000;1629503999999;78616316.28001720;88911;14415.48173000;40040176.90245440;0;ETHEUR;2021-08-20
1629504000000;2809.89000000;2841.88000000;2757.22000000;2774.88;21736.03906000;1629590399999;60973013.91476300;72941;10582.00117000;29684076.61024330;0;ETHEUR;2021-08-21
1629590400000;2774.43000000;2811.38000000;2708.53000000;2789.73;19537.61017000;1629676799999;54064790.50066790;67248;9258.77389000;25630949.75046900;0;ETHEUR;2021-08-22
1629676800000;2789.40000000;2893.32000000;2779.41000000;2855.9;29518.76387000;1629763199999;84105679.65650100;112899;15118.06569000;43075804.41500540;0;ETHEUR;2021-08-23
1629763200000;2855.80000000;2881.83000000;2701.00000000;2734.43;28693.43633000;1629849599999;80161859.21639510;111647;13560.03420000;37885113.18579720;0;ETHEUR;2021-08-24
1629849600000;2734.79000000;2800.19000000;2658.48000000;2780.05;29558.66536000;1629935999999;80952430.71706960;111320;14344.25016000;39302329.44881430;0;ETHEUR;2021-08-25
1629936000000;2779.70000000;2798.40000000;2638.26000000;2670.82;31169.87773000;1630022399999;84030521.16696460;115431;15442.86616000;41638965.31752360;0;ETHEUR;2021-08-26
1630022400000;2670.61000000;2810.00000000;2643.93000000;2798.63;25424.99809000;1630108799999;69281910.33596090;95809;13161.00797000;35905053.49105080;0;ETHEUR;2021-08-27
1630108800000;2798.62000000;2807.92000000;2745.76000000;2770.79;15166.82960000;1630195199999;42004058.69416600;54330;7636.94180000;21149677.97689100;0;ETHEUR;2021-08-28
1630195200000;2771.73000000;2806.13000000;2693.18000000;2763.44;21261.80110000;1630281599999;58425086.76890200;82665;10513.60430000;28892957.50244700;0;ETHEUR;2021-08-29
1630281600000;2763.46000000;2857.00000000;2697.00000000;2772.0;32205.42607000;1630367999999;89150823.50883990;98992;16317.74102000;45217369.24878660;0;ETHEUR;2021-08-30
1630368000000;2772.11000000;2955.90000000;2740.00000000;2935.0;40392.90213000;1630454399999;115768408.58368890;130472;20463.32425000;58722236.78334080;0;ETHEUR;2021-08-31
1630454400000;2934.60000000;3267.00000000;2898.59000000;3255.52;44441.95676000;1630540799999;136155224.29917200;146538;22455.96097000;68757721.09285970;0;ETHEUR;2021-09-01
1630540800000;3254.42000000;3263.37000000;3146.00000000;3202.1;34808.12500000;1630627199999;111084333.72724700;115111;17248.07980000;55049059.57185700;0;ETHEUR;2021-09-02
1630627200000;3202.00000000;3408.10000000;3137.41000000;3340.0;36107.46763000;1630713599999;119240247.79240370;126488;18428.65294000;60822607.96192110;0;ETHEUR;2021-09-03
1630713600000;3341.28000000;3362.66000000;3247.88000000;3299.0;27056.94300000;1630799999999;89538228.50690100;87126;12936.47970000;42797369.09633600;0;ETHEUR;2021-09-04
1630800000000;3299.41000000;3370.37000000;3254.55000000;3342.72;25764.98860000;1630886399999;85522666.02897000;82913;12765.51070000;42356824.75731000;0;ETHEUR;2021-09-05
1630886400000;3342.69000000;3368.41000000;3282.08000000;3333.85;26119.91080000;1630972799999;87030120.68007700;96944;13085.92850000;43602560.19875400;0;ETHEUR;2021-09-06
1630972800000;3334.04000000;3351.05000000;2615.78000000;2957.77;72187.50561000;1631059199999;221706565.78607840;237513;35153.14833000;107886104.42722900;0;ETHEUR;2021-09-07
1631059200000;2959.73000000;3048.52000000;2754.68000000;2994.6;63181.83570000;1631145599999;184820593.54285300;215236;30871.82470000;90277458.06489400;0;ETHEUR;2021-09-08
1631145600000;2994.74000000;3051.63000000;2906.21000000;2928.89;39308.98040000;1631231999999;117494036.08008500;148919;19675.54480000;58816214.16305300;0;ETHEUR;2021-09-09
1631232000000;2928.47000000;3003.76000000;2693.58000000;2740.95;39249.75260000;1631318399999;112036605.39174100;147473;19100.50300000;54515285.65761200;0;ETHEUR;2021-09-10
1631318400000;2740.59000000;2856.74000000;2733.08000000;2790.25;29843.07380000;1631404799999;83482747.76012700;112322;14799.10050000;41400512.38001700;0;ETHEUR;2021-09-11
1631404800000;2789.98000000;2963.75000000;2760.80000000;2903.52;31368.21940000;1631491199999;90459473.01664200;113833;15841.06360000;45699196.87249500;0;ETHEUR;2021-09-12
1631491200000;2904.05000000;2925.39000000;2668.22000000;2804.14;43074.37040000;1631577599999;119558450.99236400;134502;21665.25260000;60129831.67464700;0;ETHEUR;2021-09-13
1631577600000;2804.26000000;2933.19000000;2789.89000000;2931.46;23190.96070000;1631663999999;66037776.08161200;71599;11668.61120000;33236701.55369700;0;ETHEUR;2021-09-14
1631664000000;2930.36000000;3074.84000000;2865.25000000;3073.09;28636.27940000;1631750399999;84341674.10179700;80213;14281.64570000;42072888.20039900;0;ETHEUR;2021-09-15
1631750400000;3072.84000000;3126.18000000;2968.29000000;3039.87;37389.67800000;1631836799999;114344823.23901100;114062;18987.89480000;58078690.21156500;0;ETHEUR;2021-09-16
1631836800000;3040.26000000;3061.54000000;2862.88000000;2904.0;29377.25170000;1631923199999;86796179.08586800;96799;14663.66670000;43319731.18123100;0;ETHEUR;2021-09-17
1631923200000;2904.00000000;3025.43000000;2878.60000000;2935.1;24658.02430000;1632009599999;72970614.36660100;82956;12449.98670000;36853648.71665700;0;ETHEUR;2021-09-18
1632009600000;2934.92000000;2955.37000000;2808.32000000;2848.03;24239.28930000;1632095999999;69878962.34675500;77817;12171.56900000;35086372.85115500;0;ETHEUR;2021-09-19
1632096000000;2848.48000000;2863.44000000;2502.07000000;2556.04;67889.46479000;1632182399999;180582635.24599180;216909;33056.38278000;87924058.71127720;0;ETHEUR;2021-09-20
1632182400000;2556.01000000;2668.56000000;2277.21000000;2377.53;72048.65693000;1632268799999;181478925.85075210;202530;34784.09142000;87629131.25494660;0;ETHEUR;2021-09-21
1632268800000;2377.32000000;2651.79000000;2354.00000000;2651.41;47131.35720000;1632355199999;118985245.92167800;148359;24155.27290000;60984462.13140700;0;ETHEUR;2021-09-22
1632355200000;2650.89000000;2721.36000000;2614.70000000;2704.02;37049.97430000;1632441599999;99036369.33708300;122078;17566.41640000;46942731.08326800;0;ETHEUR;2021-09-23
