open_time;open;high;low;close;volume;close_time;quote_asset_volume;number_of_trades;taker_buy_base_asset_volume;taker_buy_quote_asset_volume;ignore;symbol;timestamp
1626134400000;27941.83000000;28207.58000000;27398.02000000;27988.95;2082.01085100;1626220799999;57872574.40713692;96273;1002.47148600;27869709.98871549;0;BTCEUR;2021-07-13
1626220800000;27983.21000000;28358.99000000;27083.00000000;28172.11;2302.33577400;1626307199999;63969546.54065197;109192;1140.30273700;31686413.76465757;0;BTCEUR;2021-07-14
1626307200000;28171.96000000;28482.91000000;26814.54000000;27347.44;2524.12896100;1626393599999;69228491.55341625;118836;1177.90635500;32298705.86692528;0;BTCEUR;2021-07-15
1626393600000;27347.48000000;27476.74000000;26539.64000000;26700.19;2625.22601200;1626479999999;70905027.82065819;110704;1420.86659200;38373328.49748894;0;BTCEUR;2021-07-16
1626480000000;26699.29000000;27347.24000000;26517.80000000;26954.11;1331.62577000;1626566399999;35923659.69456205;80046;683.62588700;18444065.56155621;0;BTCEUR;2021-07-17
1626566400000;26954.10000000;27678.55000000;26696.00000000;27191.82;1375.17684900;1626652799999;37344842.42867033;67705;675.58653800;18353455.40512863;0;BTCEUR;2021-07-18
1626652800000;27191.82000000;27334.49000000;26005.17000000;26440.52;2133.78672300;1626739199999;56700950.24132241;82561;1102.16279000;29314423.75802124;0;BTCEUR;2021-07-19
1626739200000;26444.28000000;26628.20000000;25165.23000000;25646.44;3245.27880600;1626825599999;83194651.94186388;109650;1450.80919100;37199648.68940671;0;BTCEUR;2021-07-20
1626825600000;25652.34000000;28095.14000000;25410.46000000;27590.42;3319.20411400;1626911999999;89838504.75253591;115726;1648.54856800;44606646.35734976;0;BTCEUR;2021-07-21
1626912000000;27596.94000000;27875.94000000;27217.89000000;27724.92;1642.78140000;1626998399999;45276956.03099085;74925;755.48267400;20824837.22938448;0;BTCEUR;2021-07-22
1626998400000;27724.92000000;28837.53000000;27470.00000000;28837.53;1683.75257400;1627084799999;47138306.39790681;76768;835.04700300;23393096.68208913;0;BTCEUR;2021-07-23
1627084800000;28837.53000000;29628.70000000;28605.75000000;29386.13;1817.49069800;1627171199999;52838854.72600940;79244;874.28429000;25422664.25106012;0;BTCEUR;2021-07-24
1627171200000;29387.87000000;30300.00000000;29059.35000000;30293.35;1900.17891800;1627257599999;56119258.31939024;80882;934.03418800;27595662.82593325;0;BTCEUR;2021-07-25
1627257600000;30292.48000000;34491.12000000;30140.50000000;31686.9;7561.06581300;1627343999999;246963754.87552543;286096;3775.73580900;123329222.28632159;0;BTCEUR;2021-07-26
1627344000000;31690.18000000;33733.00000000;30988.54000000;33678.96;4584.19444600;1627430399999;147934778.52404151;184911;2273.67313400;73384699.15347462;0;BTCEUR;2021-07-27
